"external/ns3_step","ppo_morabito_ns3_20ue_20260508_160337 - external/aggregate_throughput_mbps","ppo_morabito_ns3_20ue_20260508_160337 - external/aggregate_throughput_mbps__MIN","ppo_morabito_ns3_20ue_20260508_160337 - external/aggregate_throughput_mbps__MAX","ppo_morabito_ns3_20ue_20260508_160337 - _step","ppo_morabito_ns3_20ue_20260508_160337 - _step__MIN","ppo_morabito_ns3_20ue_20260508_160337 - _step__MAX","a2c_morabito_ns3_20ue_20260508_160335 - external/aggregate_throughput_mbps","a2c_morabito_ns3_20ue_20260508_160335 - external/aggregate_throughput_mbps__MIN","a2c_morabito_ns3_20ue_20260508_160335 - external/aggregate_throughput_mbps__MAX","a2c_morabito_ns3_20ue_20260508_160335 - _step","a2c_morabito_ns3_20ue_20260508_160335 - _step__MIN","a2c_morabito_ns3_20ue_20260508_160335 - _step__MAX","dqn_morabito_ns3_20ue_20260508_160334 - external/aggregate_throughput_mbps","dqn_morabito_ns3_20ue_20260508_160334 - external/aggregate_throughput_mbps__MIN","dqn_morabito_ns3_20ue_20260508_160334 - external/aggregate_throughput_mbps__MAX","dqn_morabito_ns3_20ue_20260508_160334 - _step","dqn_morabito_ns3_20ue_20260508_160334 - _step__MIN","dqn_morabito_ns3_20ue_20260508_160334 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/aggregate_throughput_mbps","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/aggregate_throughput_mbps__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/aggregate_throughput_mbps__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MAX","2026-05-08_13-32 - external/aggregate_throughput_mbps","2026-05-08_13-32 - external/aggregate_throughput_mbps__MIN","2026-05-08_13-32 - external/aggregate_throughput_mbps__MAX","2026-05-08_13-32 - _step","2026-05-08_13-32 - _step__MIN","2026-05-08_13-32 - _step__MAX","a2c_morabito_ns3_20ue_20260507_232704 - external/aggregate_throughput_mbps","a2c_morabito_ns3_20ue_20260507_232704 - external/aggregate_throughput_mbps__MIN","a2c_morabito_ns3_20ue_20260507_232704 - external/aggregate_throughput_mbps__MAX","a2c_morabito_ns3_20ue_20260507_232704 - _step","a2c_morabito_ns3_20ue_20260507_232704 - _step__MIN","a2c_morabito_ns3_20ue_20260507_232704 - _step__MAX","ppo_morabito_ns3_20ue_20260507_232608 - external/aggregate_throughput_mbps","ppo_morabito_ns3_20ue_20260507_232608 - external/aggregate_throughput_mbps__MIN","ppo_morabito_ns3_20ue_20260507_232608 - external/aggregate_throughput_mbps__MAX","ppo_morabito_ns3_20ue_20260507_232608 - _step","ppo_morabito_ns3_20ue_20260507_232608 - _step__MIN","ppo_morabito_ns3_20ue_20260507_232608 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/aggregate_throughput_mbps","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/aggregate_throughput_mbps__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/aggregate_throughput_mbps__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MAX","dqn_morabito_ns3_20ue_20260507_232604 - external/aggregate_throughput_mbps","dqn_morabito_ns3_20ue_20260507_232604 - external/aggregate_throughput_mbps__MIN","dqn_morabito_ns3_20ue_20260507_232604 - external/aggregate_throughput_mbps__MAX","dqn_morabito_ns3_20ue_20260507_232604 - _step","dqn_morabito_ns3_20ue_20260507_232604 - _step__MIN","dqn_morabito_ns3_20ue_20260507_232604 - _step__MAX"
"1132","32.948","32.948","32.948","1132","1132","1132","35.883","35.883","35.883","1132","1132","1132","35.966","35.966","35.966","1132","1132","1132","34.562","34.562","34.562","1132","1132","1132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1133","39.006","39.006","39.006","1133","1133","1133","34.226","34.226","34.226","1133","1133","1133","35.704","35.704","35.704","1133","1133","1133","37.413","37.413","37.413","1133","1133","1133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1134","35.768","35.768","35.768","1134","1134","1134","35.275","35.275","35.275","1134","1134","1134","36.48","36.48","36.48","1134","1134","1134","35.369","35.369","35.369","1134","1134","1134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1135","36.941","36.941","36.941","1135","1135","1135","39.11","39.11","39.11","1135","1135","1135","36.228","36.228","36.228","1135","1135","1135","37.015","37.015","37.015","1135","1135","1135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1136","35.851","35.851","35.851","1136","1136","1136","35.589","35.589","35.589","1136","1136","1136","35.683","35.683","35.683","1136","1136","1136","35.16","35.16","35.16","1136","1136","1136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1137","35.756","35.756","35.756","1137","1137","1137","36.595","36.595","36.595","1137","1137","1137","35.39","35.39","35.39","1137","1137","1137","36.92","36.92","36.92","1137","1137","1137","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1138","33.388","33.388","33.388","1138","1138","1138","36.176","36.176","36.176","1138","1138","1138","37.141","37.141","37.141","1138","1138","1138","36.082","36.082","36.082","1138","1138","1138","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1139","31.67","31.67","31.67","1139","1139","1139","34.688","34.688","34.688","1139","1139","1139","36.239","36.239","36.239","1139","1139","1139","36.176","36.176","36.176","1139","1139","1139","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1140","42.244","42.244","42.244","1140","1140","1140","37.664","37.664","37.664","1140","1140","1140","35.578","35.578","35.578","1140","1140","1140","35.767","35.767","35.767","1140","1140","1140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1141","36.752","36.752","36.752","1141","1141","1141","26.283","26.283","26.283","1141","1141","1141","36.564","36.564","36.564","1141","1141","1141","36.616","36.616","36.616","1141","1141","1141","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1142","35.244","35.244","35.244","1142","1142","1142","38.03","38.03","38.03","1142","1142","1142","35.736","35.736","35.736","1142","1142","1142","35.725","35.725","35.725","1142","1142","1142","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1143","35.642","35.642","35.642","1143","1143","1143","32.655","32.655","32.655","1143","1143","1143","34.29","34.29","34.29","1143","1143","1143","32.089","32.089","32.089","1143","1143","1143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1144","32.697","32.697","32.697","1144","1144","1144","40.546","40.546","40.546","1144","1144","1144","33.661","33.661","33.661","1144","1144","1144","36.7","36.7","36.7","1144","1144","1144","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1145","38.303","38.303","38.303","1145","1145","1145","36.773","36.773","36.773","1145","1145","1145","39.006","39.006","39.006","1145","1145","1145","36.627","36.627","36.627","1145","1145","1145","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1146","36.418","36.418","36.418","1146","1146","1146","35.611","35.611","35.611","1146","1146","1146","34.719","34.719","34.719","1146","1146","1146","37.518","37.518","37.518","1146","1146","1146","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1147","35.841","35.841","35.841","1147","1147","1147","36.312","36.312","36.312","1147","1147","1147","34.216","34.216","34.216","1147","1147","1147","33.671","33.671","33.671","1147","1147","1147","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1148","36.428","36.428","36.428","1148","1148","1148","35.799","35.799","35.799","1148","1148","1148","39.393","39.393","39.393","1148","1148","1148","35.202","35.202","35.202","1148","1148","1148","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1149","36.438","36.438","36.438","1149","1149","1149","34.479","34.479","34.479","1149","1149","1149","36.249","36.249","36.249","1149","1149","1149","25.507","25.507","25.507","1149","1149","1149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1150","31.293","31.293","31.293","1150","1150","1150","33.514","33.514","33.514","1150","1150","1150","35.946","35.946","35.946","1150","1150","1150","25.937","25.937","25.937","1150","1150","1150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1151","40.169","40.169","40.169","1151","1151","1151","40.777","40.777","40.777","1151","1151","1151","36.081","36.081","36.081","1151","1151","1151","25.486","25.486","25.486","1151","1151","1151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1152","25.643","25.643","25.643","1152","1152","1152","35.83","35.83","35.83","1152","1152","1152","35.547","35.547","35.547","1152","1152","1152","25.109","25.109","25.109","1152","1152","1152","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1153","36.49","36.49","36.49","1153","1153","1153","35.558","35.558","35.558","1153","1153","1153","36.008","36.008","36.008","1153","1153","1153","25.224","25.224","25.224","1153","1153","1153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1154","34.258","34.258","34.258","1154","1154","1154","35.306","35.306","35.306","1154","1154","1154","35.558","35.558","35.558","1154","1154","1154","25.329","25.329","25.329","1154","1154","1154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1155","42.297","42.297","42.297","1155","1155","1155","36.553","36.553","36.553","1155","1155","1155","36.27","36.27","36.27","1155","1155","1155","34.363","34.363","34.363","1155","1155","1155","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1156","34.52","34.52","34.52","1156","1156","1156","32.089","32.089","32.089","1156","1156","1156","36.071","36.071","36.071","1156","1156","1156","81.555","81.555","81.555","1156","1156","1156","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1157","36.878","36.878","36.878","1157","1157","1157","39.498","39.498","39.498","1157","1157","1157","34.939","34.939","34.939","1157","1157","1157","57.073","57.073","57.073","1157","1157","1157","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1158","35.809","35.809","35.809","1158","1158","1158","35.6","35.6","35.6","1158","1158","1158","30.978","30.978","30.978","1158","1158","1158","36.564","36.564","36.564","1158","1158","1158","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1159","35.494","35.494","35.494","1159","1159","1159","35.819","35.819","35.819","1159","1159","1159","25.612","25.612","25.612","1159","1159","1159","35.966","35.966","35.966","1159","1159","1159","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1160","32.13","32.13","32.13","1160","1160","1160","36.564","36.564","36.564","1160","1160","1160","25.518","25.518","25.518","1160","1160","1160","36.606","36.606","36.606","1160","1160","1160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1161","40.043","40.043","40.043","1161","1161","1161","36.082","36.082","36.082","1161","1161","1161","25.308","25.308","25.308","1161","1161","1161","35.652","35.652","35.652","1161","1161","1161","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1162","36.092","36.092","36.092","1162","1162","1162","35.19","35.19","35.19","1162","1162","1162","33.766","33.766","33.766","1162","1162","1162","35.61","35.61","35.61","1162","1162","1162","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1163","35.642","35.642","35.642","1163","1163","1163","35.684","35.684","35.684","1163","1163","1163","58.414","58.414","58.414","1163","1163","1163","35.684","35.684","35.684","1163","1163","1163","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1164","36.018","36.018","36.018","1164","1164","1164","36.029","36.029","36.029","1164","1164","1164","46.772","46.772","46.772","1164","1164","1164","34.426","34.426","34.426","1164","1164","1164","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1165","36.899","36.899","36.899","1165","1165","1165","36.637","36.637","36.637","1165","1165","1165","37.077","37.077","37.077","1165","1165","1165","37.968","37.968","37.968","1165","1165","1165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1166","35.777","35.777","35.777","1166","1166","1166","35.946","35.946","35.946","1166","1166","1166","35.568","35.568","35.568","1166","1166","1166","36.019","36.019","36.019","1166","1166","1166","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1167","33.63","33.63","33.63","1167","1167","1167","36.826","36.826","36.826","1167","1167","1167","36.155","36.155","36.155","1167","1167","1167","36.732","36.732","36.732","1167","1167","1167","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1168","17.396","17.396","17.396","1168","1168","1168","31.073","31.073","31.073","1168","1168","1168","35.642","35.642","35.642","1168","1168","1168","34.772","34.772","34.772","1168","1168","1168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1169","36.144","36.144","36.144","1169","1169","1169","40.808","40.808","40.808","1169","1169","1169","36.155","36.155","36.155","1169","1169","1169","36.689","36.689","36.689","1169","1169","1169","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1170","35.348","35.348","35.348","1170","1170","1170","35.998","35.998","35.998","1170","1170","1170","34.111","34.111","34.111","1170","1170","1170","35.966","35.966","35.966","1170","1170","1170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1171","35.862","35.862","35.862","1171","1171","1171","35.4","35.4","35.4","1171","1171","1171","38.041","38.041","38.041","1171","1171","1171","35.642","35.642","35.642","1171","1171","1171","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1172","35.495","35.495","35.495","1172","1172","1172","35.557","35.557","35.557","1172","1172","1172","36.04","36.04","36.04","1172","1172","1172","33.535","33.535","33.535","1172","1172","1172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1173","35.159","35.159","35.159","1173","1173","1173","34.436","34.436","34.436","1173","1173","1173","36.207","36.207","36.207","1173","1173","1173","38.031","38.031","38.031","1173","1173","1173","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1174","37.496","37.496","37.496","1174","1174","1174","38.691","38.691","38.691","1174","1174","1174","35.536","35.536","35.536","1174","1174","1174","35.212","35.212","35.212","1174","1174","1174","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1175","35.966","35.966","35.966","1175","1175","1175","35.013","35.013","35.013","1175","1175","1175","35.002","35.002","35.002","1175","1175","1175","35.254","35.254","35.254","1175","1175","1175","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1176","32.152","32.152","32.152","1176","1176","1176","37.172","37.172","37.172","1176","1176","1176","37.004","37.004","37.004","1176","1176","1176","38.638","38.638","38.638","1176","1176","1176","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1177","40.159","40.159","40.159","1177","1177","1177","36.973","36.973","36.973","1177","1177","1177","36.564","36.564","36.564","1177","1177","1177","34.614","34.614","34.614","1177","1177","1177","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1178","35.316","35.316","35.316","1178","1178","1178","31.083","31.083","31.083","1178","1178","1178","36.888","36.888","36.888","1178","1178","1178","37.863","37.863","37.863","1178","1178","1178","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1179","37.654","37.654","37.654","1179","1179","1179","40.42","40.42","40.42","1179","1179","1179","35.746","35.746","35.746","1179","1179","1179","33.807","33.807","33.807","1179","1179","1179","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1180","35.599","35.599","35.599","1180","1180","1180","34.625","34.625","34.625","1180","1180","1180","35.547","35.547","35.547","1180","1180","1180","38.471","38.471","38.471","1180","1180","1180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1181","36.554","36.554","36.554","1181","1181","1181","35.411","35.411","35.411","1181","1181","1181","35.128","35.128","35.128","1181","1181","1181","34.73","34.73","34.73","1181","1181","1181","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1182","35.159","35.159","35.159","1182","1182","1182","38.093","38.093","38.093","1182","1182","1182","35.935","35.935","35.935","1182","1182","1182","37.088","37.088","37.088","1182","1182","1182","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1183","37.298","37.298","37.298","1183","1183","1183","36.103","36.103","36.103","1183","1183","1183","36.438","36.438","36.438","1183","1183","1183","36.218","36.218","36.218","1183","1183","1183","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1184","34.3","34.3","34.3","1184","1184","1184","34.458","34.458","34.458","1184","1184","1184","34.898","34.898","34.898","1184","1184","1184","36.196","36.196","36.196","1184","1184","1184","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1185","33.871","33.871","33.871","1185","1185","1185","34.185","34.185","34.185","1185","1185","1185","37.382","37.382","37.382","1185","1185","1185","34.268","34.268","34.268","1185","1185","1185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1186","39.394","39.394","39.394","1186","1186","1186","40.085","40.085","40.085","1186","1186","1186","36.7","36.7","36.7","1186","1186","1186","37.56","37.56","37.56","1186","1186","1186","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1187","35.988","35.988","35.988","1187","1187","1187","35.568","35.568","35.568","1187","1187","1187","35.17","35.17","35.17","1187","1187","1187","34.877","34.877","34.877","1187","1187","1187","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1188","34.583","34.583","34.583","1188","1188","1188","34.625","34.625","34.625","1188","1188","1188","35.38","35.38","35.38","1188","1188","1188","33.525","33.525","33.525","1188","1188","1188","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1189","37.842","37.842","37.842","1189","1189","1189","37.654","37.654","37.654","1189","1189","1189","36.595","36.595","36.595","1189","1189","1189","39.592","39.592","39.592","1189","1189","1189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1190","29.836","29.836","29.836","1190","1190","1190","17.899","17.899","17.899","1190","1190","1190","32.058","32.058","32.058","1190","1190","1190","35.317","35.317","35.317","1190","1190","1190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1191","41.951","41.951","41.951","1191","1191","1191","32.603","32.603","32.603","1191","1191","1191","25.811","25.811","25.811","1191","1191","1191","35.558","35.558","35.558","1191","1191","1191","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1192","35.107","35.107","35.107","1192","1192","1192","17.857","17.857","17.857","1192","1192","1192","42.653","42.653","42.653","1192","1192","1192","36.47","36.47","36.47","1192","1192","1192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1193","35.348","35.348","35.348","1193","1193","1193","37.916","37.916","37.916","1193","1193","1193","37.706","37.706","37.706","1193","1193","1193","35.862","35.862","35.862","1193","1193","1193","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1194","34.793","34.793","34.793","1194","1194","1194","34.028","34.028","34.028","1194","1194","1194","36.207","36.207","36.207","1194","1194","1194","35.819","35.819","35.819","1194","1194","1194","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1195","37.748","37.748","37.748","1195","1195","1195","34.374","34.374","34.374","1195","1195","1195","35.861","35.861","35.861","1195","1195","1195","35.977","35.977","35.977","1195","1195","1195","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1196","36.27","36.27","36.27","1196","1196","1196","38.167","38.167","38.167","1196","1196","1196","35.966","35.966","35.966","1196","1196","1196","35.904","35.904","35.904","1196","1196","1196","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1197","36.585","36.585","36.585","1197","1197","1197","39.121","39.121","39.121","1197","1197","1197","36.888","36.888","36.888","1197","1197","1197","37.067","37.067","37.067","1197","1197","1197","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1198","36.605","36.605","36.605","1198","1198","1198","34.174","34.174","34.174","1198","1198","1198","36.176","36.176","36.176","1198","1198","1198","35.955","35.955","35.955","1198","1198","1198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1199","33.189","33.189","33.189","1199","1199","1199","38.628","38.628","38.628","1199","1199","1199","35.777","35.777","35.777","1199","1199","1199","36.166","36.166","36.166","1199","1199","1199","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1200","38.513","38.513","38.513","1200","1200","1200","35.274","35.274","35.274","1200","1200","1200","35.904","35.904","35.904","1200","1200","1200","35.83","35.83","35.83","1200","1200","1200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1201","17.92","17.92","17.92","1201","1201","1201","26.754","26.754","26.754","1201","1201","1201","36.05","36.05","36.05","1201","1201","1201","36.103","36.103","36.103","1201","1201","1201","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1202","38.607","38.607","38.607","1202","1202","1202","40.158","40.158","40.158","1202","1202","1202","25.371","25.371","25.371","1202","1202","1202","35.757","35.757","35.757","1202","1202","1202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1203","35.977","35.977","35.977","1203","1203","1203","33.524","33.524","33.524","1203","1203","1203","41.071","41.071","41.071","1203","1203","1203","35.652","35.652","35.652","1203","1203","1203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1204","35.023","35.023","35.023","1204","1204","1204","38.629","38.629","38.629","1204","1204","1204","41.227","41.227","41.227","1204","1204","1204","36.134","36.134","36.134","1204","1204","1204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1205","34.992","34.992","34.992","1205","1205","1205","36.218","36.218","36.218","1205","1205","1205","36.292","36.292","36.292","1205","1205","1205","34.95","34.95","34.95","1205","1205","1205","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1206","38.241","38.241","38.241","1206","1206","1206","36.061","36.061","36.061","1206","1206","1206","35.086","35.086","35.086","1206","1206","1206","37.548","37.548","37.548","1206","1206","1206","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1207","36.365","36.365","36.365","1207","1207","1207","36.553","36.553","36.553","1207","1207","1207","36.092","36.092","36.092","1207","1207","1207","36.26","36.26","36.26","1207","1207","1207","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1208","35.128","35.128","35.128","1208","1208","1208","35.568","35.568","35.568","1208","1208","1208","36.941","36.941","36.941","1208","1208","1208","35.17","35.17","35.17","1208","1208","1208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1209","29.406","29.406","29.406","1209","1209","1209","35.966","35.966","35.966","1209","1209","1209","35.882","35.882","35.882","1209","1209","1209","36.658","36.658","36.658","1209","1209","1209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1210","30.779","30.779","30.779","1210","1210","1210","35.599","35.599","35.599","1210","1210","1210","35.789","35.789","35.789","1210","1210","1210","35.736","35.736","35.736","1210","1210","1210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1211","48.27","48.27","48.27","1211","1211","1211","36.49","36.49","36.49","1211","1211","1211","33.106","33.106","33.106","1211","1211","1211","28.452","28.452","28.452","1211","1211","1211","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1212","35.223","35.223","35.223","1212","1212","1212","35.474","35.474","35.474","1212","1212","1212","35.621","35.621","35.621","1212","1212","1212","25.36","25.36","25.36","1212","1212","1212","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1213","36.155","36.155","36.155","1213","1213","1213","34.499","34.499","34.499","1213","1213","1213","36.92","36.92","36.92","1213","1213","1213","25.602","25.602","25.602","1213","1213","1213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1214","18.434","18.434","18.434","1214","1214","1214","37.79","37.79","37.79","1214","1214","1214","33.304","33.304","33.304","1214","1214","1214","25.528","25.528","25.528","1214","1214","1214","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1215","35.956","35.956","35.956","1215","1215","1215","35.767","35.767","35.767","1215","1215","1215","40.557","40.557","40.557","1215","1215","1215","43.47","43.47","43.47","1215","1215","1215","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1216","35.558","35.558","35.558","1216","1216","1216","37.328","37.328","37.328","1216","1216","1216","33.252","33.252","33.252","1216","1216","1216","62.02","62.02","62.02","1216","1216","1216","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1217","36.491","36.491","36.491","1217","1217","1217","31.376","31.376","31.376","1217","1217","1217","38.869","38.869","38.869","1217","1217","1217","37.433","37.433","37.433","1217","1217","1217","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1218","35.338","35.338","35.338","1218","1218","1218","41.248","41.248","41.248","1218","1218","1218","34.038","34.038","34.038","1218","1218","1218","28.494","28.494","28.494","1218","1218","1218","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1219","18.392","18.392","18.392","1219","1219","1219","29.836","29.836","29.836","1219","1219","1219","39.509","39.509","39.509","1219","1219","1219","25.685","25.685","25.685","1219","1219","1219","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1220","34.824","34.824","34.824","1220","1220","1220","21.347","21.347","21.347","1220","1220","1220","35.725","35.725","35.725","1220","1220","1220","26.598","26.598","26.598","1220","1220","1220","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1221","36.542","36.542","36.542","1221","1221","1221","34.876","34.876","34.876","1221","1221","1221","35.715","35.715","35.715","1221","1221","1221","49.098","49.098","49.098","1221","1221","1221","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1222","34.436","34.436","34.436","1222","1222","1222","37.695","37.695","37.695","1222","1222","1222","34.342","34.342","34.342","1222","1222","1222","35.851","35.851","35.851","1222","1222","1222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1223","37.035","37.035","37.035","1223","1223","1223","17.805","17.805","17.805","1223","1223","1223","36.847","36.847","36.847","1223","1223","1223","35.296","35.296","35.296","1223","1223","1223","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1224","35.788","35.788","35.788","1224","1224","1224","35.337","35.337","35.337","1224","1224","1224","34.834","34.834","34.834","1224","1224","1224","35.872","35.872","35.872","1224","1224","1224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1225","36.952","36.952","36.952","1225","1225","1225","36.396","36.396","36.396","1225","1225","1225","35.925","35.925","35.925","1225","1225","1225","36.491","36.491","36.491","1225","1225","1225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1226","17.826","17.826","17.826","1226","1226","1226","35.966","35.966","35.966","1226","1226","1226","36.365","36.365","36.365","1226","1226","1226","35.631","35.631","35.631","1226","1226","1226","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1227","17.941","17.941","17.941","1227","1227","1227","35.694","35.694","35.694","1227","1227","1227","37.786","37.786","37.786","1227","1227","1227","35.778","35.778","35.778","1227","1227","1227","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1228","34.803","34.803","34.803","1228","1228","1228","36.239","36.239","36.239","1228","1228","1228","35.768","35.768","35.768","1228","1228","1228","35.966","35.966","35.966","1228","1228","1228","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1229","37.234","37.234","37.234","1229","1229","1229","36.218","36.218","36.218","1229","1229","1229","36.805","36.805","36.805","1229","1229","1229","36.595","36.595","36.595","1229","1229","1229","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1230","35.914","35.914","35.914","1230","1230","1230","18.224","18.224","18.224","1230","1230","1230","34.761","34.761","34.761","1230","1230","1230","35.673","35.673","35.673","1230","1230","1230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1231","33.922","33.922","33.922","1231","1231","1231","30.548","30.548","30.548","1231","1231","1231","36.103","36.103","36.103","1231","1231","1231","36.501","36.501","36.501","1231","1231","1231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1232","39.32","39.32","39.32","1232","1232","1232","32.78","32.78","32.78","1232","1232","1232","37.632","37.632","37.632","1232","1232","1232","36.449","36.449","36.449","1232","1232","1232","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
