"external/ns3_step","ppo_morabito_ns3_20ue_20260508_160337 - external/active_gnb_count","ppo_morabito_ns3_20ue_20260508_160337 - external/active_gnb_count__MIN","ppo_morabito_ns3_20ue_20260508_160337 - external/active_gnb_count__MAX","ppo_morabito_ns3_20ue_20260508_160337 - _step","ppo_morabito_ns3_20ue_20260508_160337 - _step__MIN","ppo_morabito_ns3_20ue_20260508_160337 - _step__MAX","a2c_morabito_ns3_20ue_20260508_160335 - external/active_gnb_count","a2c_morabito_ns3_20ue_20260508_160335 - external/active_gnb_count__MIN","a2c_morabito_ns3_20ue_20260508_160335 - external/active_gnb_count__MAX","a2c_morabito_ns3_20ue_20260508_160335 - _step","a2c_morabito_ns3_20ue_20260508_160335 - _step__MIN","a2c_morabito_ns3_20ue_20260508_160335 - _step__MAX","dqn_morabito_ns3_20ue_20260508_160334 - external/active_gnb_count","dqn_morabito_ns3_20ue_20260508_160334 - external/active_gnb_count__MIN","dqn_morabito_ns3_20ue_20260508_160334 - external/active_gnb_count__MAX","dqn_morabito_ns3_20ue_20260508_160334 - _step","dqn_morabito_ns3_20ue_20260508_160334 - _step__MIN","dqn_morabito_ns3_20ue_20260508_160334 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/active_gnb_count","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/active_gnb_count__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/active_gnb_count__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MAX","2026-05-08_13-32 - external/active_gnb_count","2026-05-08_13-32 - external/active_gnb_count__MIN","2026-05-08_13-32 - external/active_gnb_count__MAX","2026-05-08_13-32 - _step","2026-05-08_13-32 - _step__MIN","2026-05-08_13-32 - _step__MAX","a2c_morabito_ns3_20ue_20260507_232704 - external/active_gnb_count","a2c_morabito_ns3_20ue_20260507_232704 - external/active_gnb_count__MIN","a2c_morabito_ns3_20ue_20260507_232704 - external/active_gnb_count__MAX","a2c_morabito_ns3_20ue_20260507_232704 - _step","a2c_morabito_ns3_20ue_20260507_232704 - _step__MIN","a2c_morabito_ns3_20ue_20260507_232704 - _step__MAX","ppo_morabito_ns3_20ue_20260507_232608 - external/active_gnb_count","ppo_morabito_ns3_20ue_20260507_232608 - external/active_gnb_count__MIN","ppo_morabito_ns3_20ue_20260507_232608 - external/active_gnb_count__MAX","ppo_morabito_ns3_20ue_20260507_232608 - _step","ppo_morabito_ns3_20ue_20260507_232608 - _step__MIN","ppo_morabito_ns3_20ue_20260507_232608 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/active_gnb_count","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/active_gnb_count__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/active_gnb_count__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MAX","dqn_morabito_ns3_20ue_20260507_232604 - external/active_gnb_count","dqn_morabito_ns3_20ue_20260507_232604 - external/active_gnb_count__MIN","dqn_morabito_ns3_20ue_20260507_232604 - external/active_gnb_count__MAX","dqn_morabito_ns3_20ue_20260507_232604 - _step","dqn_morabito_ns3_20ue_20260507_232604 - _step__MIN","dqn_morabito_ns3_20ue_20260507_232604 - _step__MAX"
"906","8","8","8","906","906","906","4","4","4","906","906","906","5","5","5","906","906","906","8","8","8","906","906","906","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"907","9","9","9","907","907","907","3","3","3","907","907","907","6","6","6","907","907","907","8","8","8","907","907","907","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"908","3","3","3","908","908","908","7","7","7","908","908","908","5","5","5","908","908","908","6","6","6","908","908","908","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"909","4","4","4","909","909","909","6","6","6","909","909","909","5","5","5","909","909","909","6","6","6","909","909","909","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"910","5","5","5","910","910","910","11","11","11","910","910","910","5","5","5","910","910","910","5","5","5","910","910","910","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"911","5","5","5","911","911","911","3","3","3","911","911","911","5","5","5","911","911","911","6","6","6","911","911","911","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"912","6","6","6","912","912","912","6","6","6","912","912","912","5","5","5","912","912","912","6","6","6","912","912","912","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"913","4","4","4","913","913","913","4","4","4","913","913","913","5","5","5","913","913","913","6","6","6","913","913","913","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"914","7","7","7","914","914","914","6","6","6","914","914","914","7","7","7","914","914","914","6","6","6","914","914","914","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"915","5","5","5","915","915","915","8","8","8","915","915","915","5","5","5","915","915","915","6","6","6","915","915","915","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916","4","4","4","916","916","916","6","6","6","916","916","916","5","5","5","916","916","916","6","6","6","916","916","916","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"917","6","6","6","917","917","917","6","6","6","917","917","917","8","8","8","917","917","917","6","6","6","917","917","917","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"918","2","2","2","918","918","918","4","4","4","918","918","918","5","5","5","918","918","918","5","5","5","918","918","918","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"919","3","3","3","919","919","919","4","4","4","919","919","919","5","5","5","919","919","919","5","5","5","919","919","919","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"920","5","5","5","920","920","920","8","8","8","920","920","920","5","5","5","920","920","920","5","5","5","920","920","920","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"921","8","8","8","921","921","921","4","4","4","921","921","921","5","5","5","921","921","921","8","8","8","921","921","921","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"922","5","5","5","922","922","922","6","6","6","922","922","922","4","4","4","922","922","922","4","4","4","922","922","922","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"923","5","5","5","923","923","923","3","3","3","923","923","923","5","5","5","923","923","923","5","5","5","923","923","923","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"924","5","5","5","924","924","924","8","8","8","924","924","924","5","5","5","924","924","924","5","5","5","924","924","924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"925","7","7","7","925","925","925","4","4","4","925","925","925","5","5","5","925","925","925","5","5","5","925","925","925","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"926","7","7","7","926","926","926","5","5","5","926","926","926","5","5","5","926","926","926","5","5","5","926","926","926","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"927","8","8","8","927","927","927","5","5","5","927","927","927","5","5","5","927","927","927","5","5","5","927","927","927","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"928","4","4","4","928","928","928","6","6","6","928","928","928","5","5","5","928","928","928","5","5","5","928","928","928","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"929","3","3","3","929","929","929","4","4","4","929","929","929","5","5","5","929","929","929","5","5","5","929","929","929","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"930","6","6","6","930","930","930","6","6","6","930","930","930","5","5","5","930","930","930","5","5","5","930","930","930","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"931","5","5","5","931","931","931","6","6","6","931","931","931","5","5","5","931","931","931","5","5","5","931","931","931","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"932","4","4","4","932","932","932","4","4","4","932","932","932","5","5","5","932","932","932","5","5","5","932","932","932","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"933","7","7","7","933","933","933","5","5","5","933","933","933","5","5","5","933","933","933","5","5","5","933","933","933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"934","6","6","6","934","934","934","6","6","6","934","934","934","5","5","5","934","934","934","5","5","5","934","934","934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"935","3","3","3","935","935","935","5","5","5","935","935","935","5","5","5","935","935","935","5","5","5","935","935","935","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"936","3","3","3","936","936","936","7","7","7","936","936","936","7","7","7","936","936","936","5","5","5","936","936","936","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"937","5","5","5","937","937","937","6","6","6","937","937","937","5","5","5","937","937","937","7","7","7","937","937","937","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"938","4","4","4","938","938","938","8","8","8","938","938","938","5","5","5","938","938","938","7","7","7","938","938","938","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"939","5","5","5","939","939","939","6","6","6","939","939","939","5","5","5","939","939","939","7","7","7","939","939","939","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"940","8","8","8","940","940","940","5","5","5","940","940","940","6","6","6","940","940","940","7","7","7","940","940","940","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"941","7","7","7","941","941","941","6","6","6","941","941","941","6","6","6","941","941","941","7","7","7","941","941","941","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"942","3","3","3","942","942","942","6","6","6","942","942","942","6","6","6","942","942","942","7","7","7","942","942","942","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"943","4","4","4","943","943","943","9","9","9","943","943","943","6","6","6","943","943","943","7","7","7","943","943","943","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"944","5","5","5","944","944","944","3","3","3","944","944","944","7","7","7","944","944","944","3","3","3","944","944","944","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"945","2","2","2","945","945","945","4","4","4","945","945","945","6","6","6","945","945","945","7","7","7","945","945","945","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"946","6","6","6","946","946","946","4","4","4","946","946","946","6","6","6","946","946","946","7","7","7","946","946","946","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"947","6","6","6","947","947","947","8","8","8","947","947","947","6","6","6","947","947","947","7","7","7","947","947","947","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"948","5","5","5","948","948","948","5","5","5","948","948","948","6","6","6","948","948","948","7","7","7","948","948","948","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"949","5","5","5","949","949","949","2","2","2","949","949","949","6","6","6","949","949","949","7","7","7","949","949","949","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"950","5","5","5","950","950","950","8","8","8","950","950","950","6","6","6","950","950","950","7","7","7","950","950","950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"951","4","4","4","951","951","951","7","7","7","951","951","951","6","6","6","951","951","951","5","5","5","951","951","951","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"952","8","8","8","952","952","952","8","8","8","952","952","952","6","6","6","952","952","952","9","9","9","952","952","952","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"953","4","4","4","953","953","953","6","6","6","953","953","953","6","6","6","953","953","953","10","10","10","953","953","953","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"954","6","6","6","954","954","954","8","8","8","954","954","954","7","7","7","954","954","954","10","10","10","954","954","954","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"955","6","6","6","955","955","955","7","7","7","955","955","955","6","6","6","955","955","955","10","10","10","955","955","955","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"956","5","5","5","956","956","956","5","5","5","956","956","956","6","6","6","956","956","956","10","10","10","956","956","956","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"957","5","5","5","957","957","957","6","6","6","957","957","957","3","3","3","957","957","957","10","10","10","957","957","957","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"958","7","7","7","958","958","958","8","8","8","958","958","958","4","4","4","958","958","958","10","10","10","958","958","958","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"959","3","3","3","959","959","959","3","3","3","959","959","959","4","4","4","959","959","959","10","10","10","959","959","959","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"960","5","5","5","960","960","960","5","5","5","960","960","960","4","4","4","960","960","960","10","10","10","960","960","960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"961","2","2","2","961","961","961","6","6","6","961","961","961","8","8","8","961","961","961","9","9","9","961","961","961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"962","5","5","5","962","962","962","8","8","8","962","962","962","4","4","4","962","962","962","9","9","9","962","962","962","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"963","7","7","7","963","963","963","4","4","4","963","963","963","7","7","7","963","963","963","9","9","9","963","963","963","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"964","7","7","7","964","964","964","2","2","2","964","964","964","4","4","4","964","964","964","5","5","5","964","964","964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"965","7","7","7","965","965","965","5","5","5","965","965","965","6","6","6","965","965","965","9","9","9","965","965","965","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"966","6","6","6","966","966","966","6","6","6","966","966","966","5","5","5","966","966","966","9","9","9","966","966","966","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"967","6","6","6","967","967","967","5","5","5","967","967","967","5","5","5","967","967","967","9","9","9","967","967","967","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"968","5","5","5","968","968","968","7","7","7","968","968","968","2","2","2","968","968","968","9","9","9","968","968","968","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"969","5","5","5","969","969","969","2","2","2","969","969","969","5","5","5","969","969","969","9","9","9","969","969","969","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"970","6","6","6","970","970","970","7","7","7","970","970","970","5","5","5","970","970","970","5","5","5","970","970","970","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"971","6","6","6","971","971","971","6","6","6","971","971","971","5","5","5","971","971","971","5","5","5","971","971","971","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"972","6","6","6","972","972","972","6","6","6","972","972","972","5","5","5","972","972","972","5","5","5","972","972","972","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"973","8","8","8","973","973","973","8","8","8","973","973","973","5","5","5","973","973","973","4","4","4","973","973","973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"974","4","4","4","974","974","974","9","9","9","974","974","974","5","5","5","974","974","974","5","5","5","974","974","974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"975","6","6","6","975","975","975","5","5","5","975","975","975","5","5","5","975","975","975","5","5","5","975","975","975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"976","5","5","5","976","976","976","6","6","6","976","976","976","5","5","5","976","976","976","5","5","5","976","976","976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"977","8","8","8","977","977","977","4","4","4","977","977","977","5","5","5","977","977","977","5","5","5","977","977","977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"978","6","6","6","978","978","978","6","6","6","978","978","978","5","5","5","978","978","978","5","5","5","978","978","978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"979","7","7","7","979","979","979","6","6","6","979","979","979","5","5","5","979","979","979","5","5","5","979","979","979","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"980","5","5","5","980","980","980","3","3","3","980","980","980","5","5","5","980","980","980","5","5","5","980","980","980","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"981","6","6","6","981","981","981","5","5","5","981","981","981","5","5","5","981","981","981","5","5","5","981","981","981","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"982","5","5","5","982","982","982","8","8","8","982","982","982","5","5","5","982","982","982","5","5","5","982","982","982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"983","6","6","6","983","983","983","5","5","5","983","983","983","5","5","5","983","983","983","5","5","5","983","983","983","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"984","7","7","7","984","984","984","7","7","7","984","984","984","5","5","5","984","984","984","5","5","5","984","984","984","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"985","7","7","7","985","985","985","6","6","6","985","985","985","5","5","5","985","985","985","5","5","5","985","985","985","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"986","5","5","5","986","986","986","7","7","7","986","986","986","5","5","5","986","986","986","5","5","5","986","986","986","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"987","7","7","7","987","987","987","8","8","8","987","987","987","5","5","5","987","987","987","5","5","5","987","987","987","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"988","6","6","6","988","988","988","3","3","3","988","988","988","6","6","6","988","988","988","5","5","5","988","988","988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"989","6","6","6","989","989","989","6","6","6","989","989","989","5","5","5","989","989","989","5","5","5","989","989","989","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"990","6","6","6","990","990","990","5","5","5","990","990","990","5","5","5","990","990","990","5","5","5","990","990","990","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"991","5","5","5","991","991","991","4","4","4","991","991","991","5","5","5","991","991","991","6","6","6","991","991","991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"992","4","4","4","992","992","992","4","4","4","992","992","992","4","4","4","992","992","992","6","6","6","992","992","992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"993","6","6","6","993","993","993","8","8","8","993","993","993","4","4","4","993","993","993","6","6","6","993","993","993","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"994","6","6","6","994","994","994","4","4","4","994","994","994","4","4","4","994","994","994","6","6","6","994","994","994","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"995","8","8","8","995","995","995","6","6","6","995","995","995","4","4","4","995","995","995","6","6","6","995","995","995","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"996","5","5","5","996","996","996","7","7","7","996","996","996","4","4","4","996","996","996","6","6","6","996","996","996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"997","8","8","8","997","997","997","3","3","3","997","997","997","4","4","4","997","997","997","6","6","6","997","997","997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"998","5","5","5","998","998","998","6","6","6","998","998","998","3","3","3","998","998","998","6","6","6","998","998","998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"999","6","6","6","999","999","999","5","5","5","999","999","999","5","5","5","999","999","999","3","3","3","999","999","999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000","6","6","6","1000","1000","1000","5","5","5","1000","1000","1000","4","4","4","1000","1000","1000","8","8","8","1000","1000","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1001","6","6","6","1001","1001","1001","6","6","6","1001","1001","1001","4","4","4","1001","1001","1001","6","6","6","1001","1001","1001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1002","3","3","3","1002","1002","1002","6","6","6","1002","1002","1002","4","4","4","1002","1002","1002","9","9","9","1002","1002","1002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1003","4","4","4","1003","1003","1003","6","6","6","1003","1003","1003","4","4","4","1003","1003","1003","6","6","6","1003","1003","1003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1004","4","4","4","1004","1004","1004","7","7","7","1004","1004","1004","4","4","4","1004","1004","1004","9","9","9","1004","1004","1004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1005","5","5","5","1005","1005","1005","5","5","5","1005","1005","1005","4","4","4","1005","1005","1005","9","9","9","1005","1005","1005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1006","8","8","8","1006","1006","1006","4","4","4","1006","1006","1006","3","3","3","1006","1006","1006","9","9","9","1006","1006","1006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1007","6","6","6","1007","1007","1007","7","7","7","1007","1007","1007","4","4","4","1007","1007","1007","9","9","9","1007","1007","1007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1008","4","4","4","1008","1008","1008","6","6","6","1008","1008","1008","4","4","4","1008","1008","1008","9","9","9","1008","1008","1008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1009","5","5","5","1009","1009","1009","5","5","5","1009","1009","1009","4","4","4","1009","1009","1009","9","9","9","1009","1009","1009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1010","5","5","5","1010","1010","1010","8","8","8","1010","1010","1010","4","4","4","1010","1010","1010","9","9","9","1010","1010","1010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1011","4","4","4","1011","1011","1011","6","6","6","1011","1011","1011","4","4","4","1011","1011","1011","9","9","9","1011","1011","1011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1012","8","8","8","1012","1012","1012","4","4","4","1012","1012","1012","4","4","4","1012","1012","1012","6","6","6","1012","1012","1012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1013","5","5","5","1013","1013","1013","6","6","6","1013","1013","1013","4","4","4","1013","1013","1013","6","6","6","1013","1013","1013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1014","3","3","3","1014","1014","1014","5","5","5","1014","1014","1014","4","4","4","1014","1014","1014","6","6","6","1014","1014","1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1015","3","3","3","1015","1015","1015","6","6","6","1015","1015","1015","4","4","4","1015","1015","1015","6","6","6","1015","1015","1015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1016","5","5","5","1016","1016","1016","9","9","9","1016","1016","1016","4","4","4","1016","1016","1016","6","6","6","1016","1016","1016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1017","5","5","5","1017","1017","1017","3","3","3","1017","1017","1017","4","4","4","1017","1017","1017","6","6","6","1017","1017","1017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1018","4","4","4","1018","1018","1018","5","5","5","1018","1018","1018","4","4","4","1018","1018","1018","6","6","6","1018","1018","1018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1019","4","4","4","1019","1019","1019","5","5","5","1019","1019","1019","7","7","7","1019","1019","1019","6","6","6","1019","1019","1019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1020","5","5","5","1020","1020","1020","8","8","8","1020","1020","1020","4","4","4","1020","1020","1020","7","7","7","1020","1020","1020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1021","5","5","5","1021","1021","1021","7","7","7","1021","1021","1021","4","4","4","1021","1021","1021","7","7","7","1021","1021","1021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1022","5","5","5","1022","1022","1022","3","3","3","1022","1022","1022","4","4","4","1022","1022","1022","7","7","7","1022","1022","1022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1023","3","3","3","1023","1023","1023","5","5","5","1023","1023","1023","4","4","4","1023","1023","1023","7","7","7","1023","1023","1023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1024","5","5","5","1024","1024","1024","5","5","5","1024","1024","1024","4","4","4","1024","1024","1024","7","7","7","1024","1024","1024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1025","2","2","2","1025","1025","1025","4","4","4","1025","1025","1025","5","5","5","1025","1025","1025","7","7","7","1025","1025","1025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1026","6","6","6","1026","1026","1026","7","7","7","1026","1026","1026","4","4","4","1026","1026","1026","7","7","7","1026","1026","1026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1027","8","8","8","1027","1027","1027","5","5","5","1027","1027","1027","5","5","5","1027","1027","1027","7","7","7","1027","1027","1027","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1028","2","2","2","1028","1028","1028","4","4","4","1028","1028","1028","5","5","5","1028","1028","1028","7","7","7","1028","1028","1028","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1029","8","8","8","1029","1029","1029","6","6","6","1029","1029","1029","5","5","5","1029","1029","1029","7","7","7","1029","1029","1029","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1030","5","5","5","1030","1030","1030","5","5","5","1030","1030","1030","5","5","5","1030","1030","1030","7","7","7","1030","1030","1030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1031","5","5","5","1031","1031","1031","5","5","5","1031","1031","1031","5","5","5","1031","1031","1031","7","7","7","1031","1031","1031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1032","5","5","5","1032","1032","1032","7","7","7","1032","1032","1032","5","5","5","1032","1032","1032","7","7","7","1032","1032","1032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1033","3","3","3","1033","1033","1033","7","7","7","1033","1033","1033","5","5","5","1033","1033","1033","7","7","7","1033","1033","1033","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1034","7","7","7","1034","1034","1034","8","8","8","1034","1034","1034","6","6","6","1034","1034","1034","7","7","7","1034","1034","1034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1035","8","8","8","1035","1035","1035","8","8","8","1035","1035","1035","8","8","8","1035","1035","1035","7","7","7","1035","1035","1035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1036","8","8","8","1036","1036","1036","7","7","7","1036","1036","1036","5","5","5","1036","1036","1036","7","7","7","1036","1036","1036","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1037","7","7","7","1037","1037","1037","4","4","4","1037","1037","1037","5","5","5","1037","1037","1037","7","7","7","1037","1037","1037","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1038","6","6","6","1038","1038","1038","5","5","5","1038","1038","1038","5","5","5","1038","1038","1038","7","7","7","1038","1038","1038","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1039","5","5","5","1039","1039","1039","5","5","5","1039","1039","1039","5","5","5","1039","1039","1039","8","8","8","1039","1039","1039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1040","4","4","4","1040","1040","1040","9","9","9","1040","1040","1040","8","8","8","1040","1040","1040","6","6","6","1040","1040","1040","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1041","5","5","5","1041","1041","1041","6","6","6","1041","1041","1041","8","8","8","1041","1041","1041","5","5","5","1041","1041","1041","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1042","9","9","9","1042","1042","1042","6","6","6","1042","1042","1042","8","8","8","1042","1042","1042","5","5","5","1042","1042","1042","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1043","6","6","6","1043","1043","1043","5","5","5","1043","1043","1043","8","8","8","1043","1043","1043","7","7","7","1043","1043","1043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1044","6","6","6","1044","1044","1044","5","5","5","1044","1044","1044","8","8","8","1044","1044","1044","7","7","7","1044","1044","1044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1045","2","2","2","1045","1045","1045","4","4","4","1045","1045","1045","8","8","8","1045","1045","1045","7","7","7","1045","1045","1045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1046","5","5","5","1046","1046","1046","5","5","5","1046","1046","1046","8","8","8","1046","1046","1046","7","7","7","1046","1046","1046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
